seed,pipeline,normals_only,uniform_shell,score,variation,combined
0,P1_smooth,0.14131254583686162,0.23207996076748044,0.3522107957607965,0.2950747160012953,0.15292351395335568
0,P2_gated,0.44978355122993835,0.4025031457848764,0.3364476400846752,0.19045547609552083,0.285485366594502
0,P3_nonsmooth,0.028168233718586063,0.12960870445167036,0.1450206901338643,0.12255576185134434,0.1348331063778378
1,P1_smooth,0.023365229018805833,0.4338311376992726,0.4219628780750005,0.18881671509484887,0.2057611356294554
1,P2_gated,0.1151730002926889,0.28188294737545483,0.2419083151225121,-0.01390854998724986,0.2799388104308316
1,P3_nonsmooth,0.07645187447681953,0.0773823232534137,0.0773823232534137,0.07304022896264098,0.07148948100165071
2,P1_smooth,0.2231359974987287,0.254497173470421,0.2601139552782563,0.16075410114657276,0.03220207525850253
2,P2_gated,0.31105112276297436,0.27879420363742974,0.38589621016103504,0.17906567682714594,0.3086612238516022
2,P3_nonsmooth,0.07314217752983852,0.1876557085203976,0.18943725005698364,0.0960052939160262,0.049784188494599146
3,P1_smooth,0.17129364634164732,0.1624804093623967,0.26524708823554133,0.15396519238281958,0.06979430027218551
3,P2_gated,0.2270164126862639,0.345098809473863,0.3289306543333514,-0.019988174132190607,0.1729914642772576
3,P3_nonsmooth,0.05753274935273843,0.06807783548747216,0.06683723711867996,0.04884856077119301,0.07086918181725463
4,P1_smooth,0.1252321893450523,0.28845637610375396,0.242871073000583,0.1986511236544554,0.2624565104524952
4,P2_gated,0.049286904582458116,0.289819110484388,0.29966453955201905,0.1426692697517047,0.13468822929964816
4,P3_nonsmooth,0.08917540320388384,0.1797502805548947,0.1934661169238591,0.16044149623302023,0.11345439917501039
5,P1_smooth,0.25773435738770406,0.45706140389077415,0.45571226184401586,0.3034377314408234,0.25241709083146935
5,P2_gated,0.1566077334667398,0.3916685968320326,0.4016992182917792,0.19933822191309353,0.3610957299492841
5,P3_nonsmooth,0.019310989263545384,0.1628953552181992,0.1655195820166116,0.05312457769853346,0.11971509864156299
6,P1_smooth,0.38678112103844203,0.572009631505468,0.5439938747004579,-0.2412248628490326,0.0987700185184596
6,P2_gated,0.39066076548825635,0.39403655743283,0.38671551267961934,0.06813352727386618,0.4444977218549866
6,P3_nonsmooth,0.32545986671062827,0.47904355570908974,0.5081365894758334,0.15000071954280458,0.26302725977067287
7,P1_smooth,0.0468970262332908,0.16794860641232073,0.3099609763318306,0.08116701292654009,0.09068339393027522
7,P2_gated,0.02166177768432589,0.2398096356299149,0.23543434975996275,0.08425353062758344,0.19646161853300842
7,P3_nonsmooth,0.020723573692739885,0.12030438234616532,0.12191920627027492,0.0320273411615071,0.051943502892192184
8,P1_smooth,0.1518944621335873,0.42855639552590097,0.42396521456781805,0.0535116527198903,0.24632995357756574
8,P2_gated,0.3868996827331301,0.14292302783800706,0.3193158901825364,-0.09083821158684173,0.20006555899587647
8,P3_nonsmooth,0.09727080997831805,0.18382657959306384,0.19135574229988764,0.06259293148194742,0.0992811183568231
9,P1_smooth,0.2170710276506662,0.34543495614418157,0.24616266725931144,0.12194606253288476,0.1282450885388041
9,P2_gated,0.1937907009828268,0.36027984806473173,0.3584217291375275,0.1985380833203837,0.36496926375853667
9,P3_nonsmooth,0.16541764624498997,0.23468884529184264,0.2364667910895081,0.024611742228739082,0.0992072772882399
