D,m,k,B,seed,method,overall_sign,band_sign,band_spearman
32,2,1,512,4,adaptive,0.81215,0.4675202998126171,0.024061129733064793
32,2,1,512,3,sobol,0.74775,0.4643791799941844,0.008618074244784424
32,2,1,512,3,random,0.76215,0.4704856062808956,0.027076402855960635
32,2,1,512,3,adaptive,0.8024,0.47659203256760685,0.017324613478531124
32,2,3,64,4,sobol,0.62295,0.48196562575647545,0.019920651764101727
32,2,3,64,4,random,0.59395,0.48002904865649965,0.012394264285991493
32,2,3,64,4,adaptive,0.59005,0.48535463568143306,0.011104770171423067
32,2,3,128,0,sobol,0.53395,0.4524878048780488,0.004786860641730711
32,2,3,128,0,random,0.5317,0.41424390243902437,-0.007917578077737191
32,2,3,128,0,adaptive,0.5197,0.44858536585365855,-0.004507661781171262
32,2,3,128,2,sobol,0.6211,0.4292521234721359,-0.019307688478624657
32,2,3,128,2,random,0.5608,0.4528692769836337,-0.002582116131443825
32,2,3,128,2,adaptive,0.5651,0.45452662108970376,-0.009950070784663529
32,2,3,128,1,sobol,0.61415,0.4744509188704617,0.009000223895950154
32,2,3,128,1,random,0.59265,0.4728821156432093,0.006611678440805521
32,2,3,128,1,adaptive,0.60965,0.4802779022859704,0.024674037935674666
32,2,3,128,3,sobol,0.5818,0.4576271186440678,-0.007415746843157825
32,2,3,128,3,random,0.58795,0.45831424644983965,0.010452777015469159
32,2,3,128,3,adaptive,0.60365,0.44983967017865323,-0.033134084291396845
32,2,3,128,4,sobol,0.61995,0.4756717501815541,0.0043937709213582145
32,2,3,128,4,random,0.60515,0.4795449043815057,0.039321921483696884
32,2,3,128,4,adaptive,0.63055,0.46671508109416604,0.007252888387734896
32,2,3,256,0,sobol,0.5456,0.41697560975609754,-0.014298382135357217
32,2,3,256,0,random,0.5388,0.424,0.007694001759421085
32,2,3,256,0,adaptive,0.55435,0.408780487804878,0.0065141575943057925
32,2,3,256,1,sobol,0.6079,0.46974450918870464,0.035668597284570835
32,2,3,256,1,random,0.6283,0.4623487225459435,0.03728795090020919
32,2,3,256,1,adaptive,0.6402,0.45517705064993275,0.020574288466393833
32,2,3,256,2,sobol,0.61175,0.4311166355914647,0.0012919308948220523
32,2,3,256,2,random,0.55325,0.45349078102341,0.012129818515891443
32,2,3,256,2,adaptive,0.62275,0.43339548373731096,0.031223119553796214
32,2,3,256,3,sobol,0.58015,0.4491525423728814,0.04229849391794805
32,2,3,256,3,random,0.58825,0.47801191021530004,0.04219199858933647
32,2,3,256,3,adaptive,0.60695,0.45900137425561155,0.022027310665273792
32,2,3,256,4,sobol,0.6371,0.46017913338174776,0.016130216887866495
32,2,3,256,4,random,0.62935,0.4732510288065844,0.020587284859585737
32,2,3,256,4,adaptive,0.65505,0.4606632776567417,0.052335840487197964
32,2,3,512,0,sobol,0.55525,0.4179512195121951,0.015152744765757932
32,2,3,512,0,random,0.53655,0.4286829268292683,0.0014585567367167173
32,2,3,512,0,adaptive,0.55735,0.39902439024390246,0.013299520100549045
32,2,3,512,1,sobol,0.61495,0.4616763783056925,0.029459715101096694
32,2,3,512,1,random,0.61185,0.47736441057821605,0.011565117177668578
32,2,3,512,1,adaptive,0.65425,0.4497982967279247,0.010936417404204316
32,2,3,512,2,sobol,0.6111,0.42697327532628965,-0.017924558172623818
32,2,3,512,2,random,0.6202,0.4362958359229335,0.010066827481196968
32,2,3,512,2,adaptive,0.638,0.42780194737932464,0.017662790104986382
32,2,3,512,3,sobol,0.60075,0.45029775538250116,0.042206179510380026
32,2,3,512,3,random,0.5874,0.44777828676133763,0.026231662782660547
32,2,3,512,3,adaptive,0.6288,0.445716903344022,0.05083472709636261
32,2,3,512,4,sobol,0.6419,0.4734931009440813,0.04650745523927849
32,2,3,512,4,random,0.64595,0.46332607116920843,0.03632081827321857
32,2,3,512,4,adaptive,0.67,0.4606632776567417,-0.005044659162814538
