seed,teacher,normals_only,uniform_shell,score,variation_FD,combined_FD,variation_K2,combined_K2,lam0.0,lam0.25,lam0.5,lam0.75,lam1.0
0,knn,0.2923252013008052,0.9430761883047531,0.9453952695810782,0.9575171420685682,0.9552799491197963,0.9609855399421596,0.953749798999196,0.9552294529178116,0.9562508970035881,0.9552799491197963,0.9537593030372121,0.9539168396673586
0,kde,0.2072449888891625,0.9347287385891009,0.9328250970151303,0.9405678918543923,0.9369643336057092,0.9372457640417421,0.9521587916625219,0.9366423695027805,0.9358585905409962,0.9369643336057092,0.9385205574707616,0.935412143897078
0,ocsvm,-0.07185763143052572,0.7524918099672399,0.3809962439849759,0.7713420613682455,0.7703868575474302,0.20639679358717433,0.4202843051372205,0.7235570062280249,0.3371460525842103,0.7703868575474302,0.31504916419665674,0.791682526730107
0,ae,0.35223596894387577,0.9253513494053975,0.9316555026220105,0.914131688526754,0.9237360469441879,0.9163070572282289,0.9228278833115332,0.9228811635246542,0.9313635654542618,0.9237360469441879,0.9284902739610957,0.9260669362677451
0,ae_kde_max,0.04847645461580182,0.19517410964452508,0.22243257912923126,-0.00497548196851283,0.037219733689246304,0.027047823354547078,0.027437648863557207,0.16916797158597693,0.009453947732013038,0.037219733689246304,0.07253991694521503,0.1856864313661459
1,knn,0.4648102789970765,0.9849159430045943,0.9834800975816951,0.9791031042766939,0.979384388473471,0.981565829020694,0.9795575270567088,0.9809034671382152,0.9859971111356874,0.979384388473471,0.9806168068612268,0.9810135327804012
1,kde,0.4495614264449693,0.941649116735077,0.942581973407374,0.9588998058361007,0.9467577659876583,0.9585054091914176,0.9464737302712106,0.9599927004652306,0.9507337789882325,0.9467577659876583,0.9464448007074984,0.9410775386883986
1,ocsvm,0.08299569198276793,0.646945147780591,0.6632121248484995,0.5256433825735303,0.6602438889755559,0.625185604742419,0.634815307261229,0.5828264913059652,0.5995549422197689,0.6602438889755559,0.6637599030396122,0.6847794751179005
1,ae,0.4609653318613274,0.9284695378781515,0.9280452161808647,0.9018022632090528,0.9249706118824476,0.908821043284173,0.9167316669266677,0.914870795483182,0.911561854247417,0.9249706118824476,0.9207180828723315,0.9248124992499969
1,ae_kde_max,0.06500886741418586,0.12506787196298189,0.11662870671307686,0.04332884685139355,0.09979661058394286,0.06990971070584688,0.10573744869550966,0.012507232828786633,0.07162261058330284,0.09979661058394286,0.08362293645648462,0.11266870501264288
2,knn,0.16626748106992428,0.9660775923103692,0.9659543278173113,0.9694341497365989,0.9698603914415658,0.9712464449857798,0.9674769899079596,0.9672228768915075,0.9676389425557702,0.9698603914415658,0.9670185880743523,0.9678067512270049
2,kde,0.18242949312969658,0.9428604806415298,0.9231110154718805,0.9197601064359442,0.932309032577419,0.9211532678858814,0.9351969636867702,0.9345276946720085,0.9309953321102125,0.932309032577419,0.9311482488623468,0.9203917587944315
2,ocsvm,-0.18055358621434484,0.6191133884535538,0.5222782811131244,0.8525120180480722,0.8679679838719354,0.7180295921183684,0.5621595286381146,0.8478914235656942,0.8617606950427802,0.8679679838719354,0.6399088956355825,0.49826042504170015
