seed,teacher,S0,S7,S8,S9
0,knn,0.2923252013008052,0.9521342085368342,0.9523423373693494,0.9565239220956884
0,kde,0.2072449888891625,0.9392340268492092,0.9353378962086637,0.9532957514138255
0,ocsvm,-0.07185763143052572,0.7883031212124847,0.41076807507230023,0.7610939243756975
0,ae,0.35223596894387577,0.9203501134004535,0.8864114816459265,0.9082460969843879
0,ae_kde_max,0.04847645461580182,0.04618594677598506,0.08403105385004,0.06919708397262617
1,knn,0.4648102789970765,0.980332786623628,0.979237314279115,0.978250659558168
1,kde,0.4495614264449693,0.9492733717534249,0.9442930061217495,0.9488773192077885
1,ocsvm,0.08299569198276793,0.684003024012096,0.6677381589526358,0.6423879135516541
1,ae,0.4609653318613274,0.9174917979671918,0.9319108636434545,0.9330885963543852
1,ae_kde_max,0.06500886741418586,0.07291494479978995,0.13303243861269423,0.05474316600227169
2,knn,0.16626748106992428,0.9677980151920607,0.9648259393037572,0.9674964779859118
2,kde,0.18242949312969658,0.9308045584932704,0.929239551858795,0.9393616992326527
2,ocsvm,-0.18055358621434484,0.8511994047976191,0.8905068580274321,0.6839626078504314
2,ae,0.15171113484453935,0.6916195024780099,0.6690165960663842,0.597376693506774
2,ae_kde_max,0.05140595639981788,-0.00595385512199965,0.010777904343405649,-0.06787459876085518
