seed,teacher,S0,S5,S6,S7,S8
0,knn,0.2923252013008052,0.9486250105000419,0.9588387793551174,0.9554539018156073,0.9609545318181273
0,kde,0.2072449888891625,0.9155462287561515,0.9344229111118556,0.9516894847988848,0.9403172938995769
0,ocsvm,-0.07185763143052572,0.13684009936039743,0.3661402805611222,0.7782183768735076,0.2892936051744207
0,ae,0.35223596894387577,0.9598435193740775,0.9325652982611929,0.9313662534650138,0.8915672782691131
0,ae_kde_max,0.04847645461580182,0.09632108403087934,0.21341520427417876,0.059685409466630784,0.05532296319985978
1,knn,0.4648102789970765,0.9524257942496376,0.9812335200626245,0.978593048666634,0.9842659653068883
1,kde,0.4495614264449693,0.9514062695871194,0.9647089985978354,0.9471264474645972,0.9447830553979663
1,ocsvm,0.08299569198276793,0.5765075540302161,0.7187270349081395,0.7169967239868958,0.6413978615914464
1,ae,0.4609653318613274,0.9568895875583503,0.9294629498517994,0.9137352069408279,0.9290405481621925
1,ae_kde_max,0.06500886741418586,0.133456903557937,0.04193011787829048,0.05299572960696133,0.09625550342264608
2,knn,0.16626748106992428,0.9475837903351614,0.9652930771723085,0.9645755703022811,0.9629956919827679
2,kde,0.18242949312969658,0.9311077497036758,0.9199815306617025,0.9325944003146731,0.9229843294915542
2,ocsvm,-0.18055358621434484,0.33728189312757245,0.6011512366049464,0.6296193824775298,0.5250122760491042
2,ae,0.15171113484453935,0.8162271369085476,0.593071844287377,0.6247369949479797,0.650129960519842
2,ae_kde_max,0.05140595639981788,-0.023405263196342715,0.06320932466476098,0.049549574035308484,0.13628448035735638
