dataset,d,seed,sampler,score_fid,attr_cosine,attr_top1,attr_top3_jac,attr_rank,decision_f1
29_Pima,8,7,normals_only,0.4033348150023035,0.8538853316634483,0.19776119402985073,0.3302238805970149,0.1806765342821824,0.3564356435643564
29_Pima,8,7,uniform_shell,0.7351305790915104,0.9223904134746855,0.3694029850746269,0.4309701492537314,0.3846837242359631,0.502283105022831
29_Pima,8,7,disagreement_shell,0.7672381170875916,0.9222893913781731,0.34328358208955223,0.4485074626865672,0.3884150675195452,0.44554455445544555
29_Pima,8,7,shell_box_mix,0.7084362241256023,0.9217808475063254,0.34701492537313433,0.45074626865671646,0.3773098791755508,0.5023696682464455
29_Pima,8,0,normals_only,0.4000481282655682,0.8435542431241425,0.208955223880597,0.3522388059701493,0.1856091650534856,0.33879781420765026
29_Pima,8,0,uniform_shell,0.7429077826273169,0.9217875220066005,0.34701492537313433,0.4466417910447762,0.3831734186211799,0.4656084656084656
29_Pima,8,0,disagreement_shell,0.6829581676846127,0.9190045034978541,0.3656716417910448,0.4197761194029851,0.3446162046908316,0.4583333333333333
29_Pima,8,0,shell_box_mix,0.6611146680864088,0.9198804167712543,0.332089552238806,0.39999999999999997,0.2919331911869225,0.44329896907216493
29_Pima,8,4,normals_only,0.15978895880232935,0.8468231025350572,0.23880597014925373,0.3361940298507463,0.19978142140247038,0.24
29_Pima,8,4,uniform_shell,0.6742271267612482,0.9221505385051046,0.4141791044776119,0.4533582089552239,0.3937455579246625,0.4978540772532189
29_Pima,8,4,disagreement_shell,0.7029020970083794,0.9193777172288456,0.40671641791044777,0.46641791044776126,0.3964108031272211,0.4636363636363636
29_Pima,8,4,shell_box_mix,0.6919292265126893,0.9198331953815505,0.41044776119402987,0.42798507462686575,0.37206823027718555,0.5043478260869565
29_Pima,8,2,normals_only,0.16494217438765818,0.8403859337463243,0.30223880597014924,0.3761194029850746,0.2468317608317623,0.3076923076923077
29_Pima,8,2,uniform_shell,0.7349260963051581,0.9274587256607241,0.40298507462686567,0.4727611940298508,0.4387882018479034,0.4816326530612245
29_Pima,8,2,disagreement_shell,0.7869993834345252,0.9251446278885236,0.417910447761194,0.4716417910447762,0.4388770433546553,0.5061224489795918
29_Pima,8,2,shell_box_mix,0.7715771420662859,0.9289189623925449,0.4141791044776119,0.5033582089552239,0.45273631840796025,0.44635193133047213
29_Pima,8,1,normals_only,0.3332090643229282,0.8497319583437871,0.27238805970149255,0.3485074626865672,0.20324344679482192,0.22950819672131148
29_Pima,8,1,uniform_shell,0.7325190596036151,0.9242338448671028,0.3582089552238806,0.43246268656716425,0.37606609808102354,0.5118483412322274
29_Pima,8,1,disagreement_shell,0.7259350879369493,0.9229912030192485,0.3283582089552239,0.42761194029850746,0.34026297085998586,0.5116279069767442
29_Pima,8,1,shell_box_mix,0.6998747542933591,0.919752980091293,0.30597014925373134,0.39552238805970147,0.3049040511727079,0.43564356435643564
29_Pima,8,3,normals_only,0.27394022743722596,0.8210210720548297,0.20149253731343283,0.3384328358208955,0.154670843254254,0.3487179487179487
29_Pima,8,3,uniform_shell,0.735931677812433,0.9205613168222438,0.35447761194029853,0.44888059701492544,0.41337953091684443,0.504950495049505
29_Pima,8,3,disagreement_shell,0.7020049911255717,0.9152996953191093,0.3208955223880597,0.4238805970149254,0.3620291400142147,0.579185520361991
29_Pima,8,3,shell_box_mix,0.6783217698733266,0.9203506484280647,0.3246268656716418,0.4626865671641791,0.39658848614072495,0.5320197044334976
29_Pima,8,8,normals_only,0.22874641453772862,0.8511703894004178,0.1828358208955224,0.3380597014925373,0.20180994814734785,0.26666666666666666
29_Pima,8,8,uniform_shell,0.6926143685315953,0.9251820243226881,0.3358208955223881,0.42723880597014924,0.36620469083155655,0.42786069651741293
29_Pima,8,8,disagreement_shell,0.7020972577486818,0.920022614845769,0.30597014925373134,0.4074626865671642,0.29424307036247344,0.4365482233502538
29_Pima,8,8,shell_box_mix,0.6359395952861729,0.9218329910601818,0.35074626865671643,0.4026119402985075,0.3007285003553661,0.4630541871921182
29_Pima,8,9,normals_only,0.4588974013853709,0.8669112338119986,0.2462686567164179,0.36753731343283585,0.21365617751592908,0.3815028901734104
29_Pima,8,9,uniform_shell,0.6585823233359122,0.924816402747275,0.35074626865671643,0.42649253731343284,0.33359985785358925,0.48677248677248675
29_Pima,8,9,disagreement_shell,0.6721822988977255,0.9225537847457935,0.332089552238806,0.4037313432835822,0.35110163468372424,0.54
29_Pima,8,9,shell_box_mix,0.6507222045239323,0.9203736980517045,0.31716417910447764,0.4115671641791045,0.3141435678749112,0.4777777777777778
29_Pima,8,6,normals_only,0.30807825456486,0.8356697939507565,0.2835820895522388,0.36119402985074633,0.21092288520527788,0.22857142857142856
