dataset,teacher,seed,raw_identity,rank_identity,raw_sigmoid,raw_cube,raw_asinh,raw_worst,rank_worst,rank_invariance_spread,deltaR
6_cardio,knn,0,0.2941176470588235,0.47058823529411764,0.23529411764705888,0.4411764705882353,0.20588235294117652,0.4411764705882353,0.47058823529411764,0.0,-0.02941176470588236
6_cardio,knn,1,0.17647058823529416,0.4117647058823529,0.17647058823529416,0.20588235294117652,0.1470588235294118,0.20588235294117652,0.4117647058823529,0.0,-0.2058823529411764
6_cardio,knn,2,0.2941176470588235,0.5588235294117647,0.4117647058823529,0.4411764705882353,0.38235294117647056,0.4411764705882353,0.5588235294117647,0.0,-0.11764705882352944
6_cardio,ae,0,0.5294117647058824,0.8823529411764706,0.5,0.8529411764705882,0.6470588235294117,0.8529411764705882,0.8823529411764706,0.0,-0.02941176470588236
6_cardio,ae,1,0.4117647058823529,0.8529411764705882,0.2941176470588235,0.5294117647058824,0.4411764705882353,0.5294117647058824,0.8529411764705882,0.0,-0.32352941176470584
6_cardio,ae,2,0.4411764705882353,1.0,0.38235294117647056,0.9117647058823529,0.38235294117647056,0.9117647058823529,1.0,0.0,-0.08823529411764708
40_vowels,knn,0,0.25,0.3571428571428571,0.25,0.5714285714285714,0.2142857142857143,0.5714285714285714,0.3571428571428571,0.0,0.2142857142857143
40_vowels,knn,1,0.3214285714285714,0.5,0.3928571428571429,0.4642857142857143,0.4285714285714286,0.4642857142857143,0.5,0.0,-0.0357142857142857
40_vowels,knn,2,0.25,0.3571428571428571,0.25,0.6428571428571428,0.2857142857142857,0.6428571428571428,0.3571428571428571,0.0,0.2857142857142857
40_vowels,ae,0,0.25,0.5,0.3928571428571429,0.6428571428571428,0.2142857142857143,0.6428571428571428,0.5,0.0,0.1428571428571428
40_vowels,ae,1,0.3571428571428571,0.5,0.3928571428571429,0.75,0.2857142857142857,0.75,0.5,0.0,0.25
40_vowels,ae,2,0.5357142857142857,0.4642857142857143,0.6071428571428572,0.5714285714285714,0.6071428571428572,0.6071428571428572,0.4642857142857143,0.0,0.1428571428571429
38_thyroid,knn,0,0.019607843137254943,0.2941176470588235,0.13725490196078427,0.07843137254901966,0.05882352941176472,0.13725490196078427,0.2941176470588235,0.0,-0.1568627450980392
38_thyroid,knn,1,0.019607843137254943,0.21568627450980393,0.196078431372549,0.07843137254901966,0.13725490196078427,0.196078431372549,0.21568627450980393,0.0,-0.019607843137254943
38_thyroid,knn,2,0.039215686274509776,0.13725490196078427,0.27450980392156865,0.05882352941176472,0.05882352941176472,0.27450980392156865,0.13725490196078427,0.0,0.13725490196078438
38_thyroid,ae,0,0.5098039215686274,0.4509803921568627,0.5490196078431373,0.5294117647058824,0.3529411764705882,0.5490196078431373,0.4509803921568627,0.0,0.0980392156862746
38_thyroid,ae,1,0.2549019607843137,0.4509803921568627,0.43137254901960786,0.2549019607843137,0.33333333333333337,0.43137254901960786,0.4509803921568627,0.0,-0.019607843137254832
38_thyroid,ae,2,0.17647058823529416,0.5490196078431373,0.5098039215686274,0.3529411764705882,0.2549019607843137,0.5098039215686274,0.5490196078431373,0.0,-0.03921568627450989
