seed,cond,spearman_anom,rmse_anom
0,S0_none,0.3162598761771893,0.5793497313219472
0,S1_gaussian,0.2378970941346961,0.5684502759380764
0,S3_langevin,0.05933552218911859,0.6021756045172907
0,S5_adaptive,0.9566842040048804,0.2055625924120433
1,S0_none,0.3826728832093597,0.666293048169889
1,S1_gaussian,0.5778253727802687,0.5695083989722445
1,S3_langevin,-0.032436057401808605,0.5806421674105456
1,S5_adaptive,0.9584233027084146,0.16370908288684685
2,S0_none,0.1880311716293916,0.834957410844159
2,S1_gaussian,0.1836172333355854,0.6120679762936927
2,S3_langevin,0.3089329021389103,0.47308293662003587
2,S5_adaptive,0.9434844272218247,0.18900729679923722
3,S0_none,0.07218783911135394,0.7570833851106826
3,S1_gaussian,0.0326805296070736,0.6358615139633286
3,S3_langevin,0.6355987989180665,0.4065691561634835
3,S5_adaptive,0.8852637089128863,0.2174822816862425
4,S0_none,0.2635946651594186,0.6755404806449409
4,S1_gaussian,0.6483155981797639,0.5182239804465881
4,S3_langevin,-0.05045182751650754,0.602389552941166
4,S5_adaptive,0.9498642294260955,0.1796480471956443
