d,seed,cond,metric,value
5,1,S0_none,auroc_teacher_boundary,0.999464
5,1,S0_none,auroc_student_boundary,0.79576
5,1,S0_none,rmse_score_boundary,0.3834633481192332
5,1,S0_none,spearman_boundary,0.25906970827883313
5,1,S0_none,auroc_teacher_close,1.0
5,1,S0_none,auroc_student_close,0.8527
5,1,S0_none,rmse_score_close,0.4996667622535487
5,1,S0_none,spearman_close,0.11653995415981663
5,1,S0_none,auroc_teacher_medium,1.0
5,1,S0_none,auroc_student_medium,0.866676
5,1,S0_none,rmse_score_medium,1.1400745209806538
5,1,S0_none,spearman_medium,-0.03292947571790287
5,1,S0_none,auroc_teacher_far,1.0
5,1,S0_none,auroc_student_far,0.628748
5,1,S0_none,rmse_score_far,6.495904450194661
5,1,S0_none,spearman_far,-0.05247956991827967
5,1,S0_none,rmse_score_normals,0.2226034783039643
5,1,S1_gaussian,auroc_teacher_boundary,0.999464
5,1,S1_gaussian,auroc_student_boundary,0.879972
5,1,S1_gaussian,rmse_score_boundary,0.2670064316956668
5,1,S1_gaussian,spearman_boundary,0.42159135036540146
5,1,S1_gaussian,auroc_teacher_close,1.0
5,1,S1_gaussian,auroc_student_close,0.966456
5,1,S1_gaussian,rmse_score_close,0.2805270716955704
5,1,S1_gaussian,spearman_close,0.3487074748298993
5,1,S1_gaussian,auroc_teacher_medium,1.0
5,1,S1_gaussian,auroc_student_medium,0.9892040000000001
5,1,S1_gaussian,rmse_score_medium,0.5752365790837046
5,1,S1_gaussian,spearman_medium,0.19812184848739395
5,1,S1_gaussian,auroc_teacher_far,1.0
5,1,S1_gaussian,auroc_student_far,0.977784
5,1,S1_gaussian,rmse_score_far,5.329854330083352
5,1,S1_gaussian,spearman_far,0.015455389821559286
5,1,S1_gaussian,rmse_score_normals,0.2189517052212652
5,1,S2_uniform,auroc_teacher_boundary,0.999464
5,1,S2_uniform,auroc_student_boundary,0.6791880000000001
5,1,S2_uniform,rmse_score_boundary,0.3172746796607519
5,1,S2_uniform,spearman_boundary,0.026025224100896402
5,1,S2_uniform,auroc_teacher_close,1.0
5,1,S2_uniform,auroc_student_close,0.8211960000000001
5,1,S2_uniform,rmse_score_close,0.5281739666327157
5,1,S2_uniform,spearman_close,0.12565615062460248
5,1,S2_uniform,auroc_teacher_medium,1.0
5,1,S2_uniform,auroc_student_medium,0.89012
5,1,S2_uniform,rmse_score_medium,0.8871229980995307
5,1,S2_uniform,spearman_medium,0.263561950247801
5,1,S2_uniform,auroc_teacher_far,1.0
5,1,S2_uniform,auroc_student_far,0.9614319999999998
5,1,S2_uniform,rmse_score_far,3.370353424896904
5,1,S2_uniform,spearman_far,0.09564211056844227
5,1,S2_uniform,rmse_score_normals,0.41378943036596777
5,1,S3_langevin,auroc_teacher_boundary,0.999464
5,1,S3_langevin,auroc_student_boundary,0.868308
5,1,S3_langevin,rmse_score_boundary,0.42753029302796824
5,1,S3_langevin,spearman_boundary,0.3029685718742875
5,1,S3_langevin,auroc_teacher_close,1.0
5,1,S3_langevin,auroc_student_close,0.942324
5,1,S3_langevin,rmse_score_close,0.47677262329547415
5,1,S3_langevin,spearman_close,0.16068457873831496
5,1,S3_langevin,auroc_teacher_medium,1.0
5,1,S3_langevin,auroc_student_medium,0.98968
5,1,S3_langevin,rmse_score_medium,0.5458607106593233
5,1,S3_langevin,spearman_medium,0.00705497221988888
5,1,S3_langevin,auroc_teacher_far,1.0
5,1,S3_langevin,auroc_student_far,0.894888
5,1,S3_langevin,rmse_score_far,5.852600759620794
5,1,S3_langevin,spearman_far,-0.09961086244344977
5,1,S3_langevin,rmse_score_normals,0.20643575516728405
5,1,S4_mixed,auroc_teacher_boundary,0.999464
5,1,S4_mixed,auroc_student_boundary,0.5845
5,1,S4_mixed,rmse_score_boundary,0.23511342347901482
5,1,S4_mixed,spearman_boundary,0.32423611294445176
5,1,S4_mixed,auroc_teacher_close,1.0
5,1,S4_mixed,auroc_student_close,0.6816880000000001
5,1,S4_mixed,rmse_score_close,0.42665856722227974
5,1,S4_mixed,spearman_close,0.17219569678278712
5,1,S4_mixed,auroc_teacher_medium,1.0
5,1,S4_mixed,auroc_student_medium,0.7996
5,1,S4_mixed,rmse_score_medium,1.3598770315755289
5,1,S4_mixed,spearman_medium,0.10898961995847982
5,1,S4_mixed,auroc_teacher_far,1.0
5,1,S4_mixed,auroc_student_far,0.820816
5,1,S4_mixed,rmse_score_far,4.742821943442151
5,1,S4_mixed,spearman_far,-0.09534057336229344
5,1,S4_mixed,rmse_score_normals,0.5854470711069182
5,1,S5_adaptive,auroc_teacher_boundary,0.999464
5,1,S5_adaptive,auroc_student_boundary,0.634496
5,1,S5_adaptive,rmse_score_boundary,0.29695457935494735
5,1,S5_adaptive,spearman_boundary,0.2794910059640239
5,1,S5_adaptive,auroc_teacher_close,1.0
5,1,S5_adaptive,auroc_student_close,0.758656
5,1,S5_adaptive,rmse_score_close,0.5067021820963102
5,1,S5_adaptive,spearman_close,0.149749558998236
5,1,S5_adaptive,auroc_teacher_medium,1.0
5,1,S5_adaptive,auroc_student_medium,0.899336
5,1,S5_adaptive,rmse_score_medium,1.036706053104664
5,1,S5_adaptive,spearman_medium,0.24316311665246657
5,1,S5_adaptive,auroc_teacher_far,1.0
5,1,S5_adaptive,auroc_student_far,0.951252
5,1,S5_adaptive,rmse_score_far,3.3344042556535225
5,1,S5_adaptive,spearman_far,0.12112454849819398
5,1,S5_adaptive,rmse_score_normals,0.4270698076584761
5,2,S0_none,auroc_teacher_boundary,0.999464
5,2,S0_none,auroc_student_boundary,0.78896
5,2,S0_none,rmse_score_boundary,0.4053481983326991
5,2,S0_none,spearman_boundary,0.24367057468229872
5,2,S0_none,auroc_teacher_close,1.0
5,2,S0_none,auroc_student_close,0.846048
5,2,S0_none,rmse_score_close,0.5308812081316503
5,2,S0_none,spearman_close,0.09996039984159936
5,2,S0_none,auroc_teacher_medium,1.0
5,2,S0_none,auroc_student_medium,0.799736
5,2,S0_none,rmse_score_medium,1.1984579358868184
5,2,S0_none,spearman_medium,-0.015170748682994731
5,2,S0_none,auroc_teacher_far,1.0
5,2,S0_none,auroc_student_far,0.65972
5,2,S0_none,rmse_score_far,6.548210881201264
5,2,S0_none,spearman_far,-0.016592898371593483
5,2,S0_none,rmse_score_normals,0.21945825887458373
5,2,S1_gaussian,auroc_teacher_boundary,0.999464
5,2,S1_gaussian,auroc_student_boundary,0.90158
5,2,S1_gaussian,rmse_score_boundary,0.23380249551217727
5,2,S1_gaussian,spearman_boundary,0.36149981399925596
5,2,S1_gaussian,auroc_teacher_close,1.0
5,2,S1_gaussian,auroc_student_close,0.9809079999999999
5,2,S1_gaussian,rmse_score_close,0.25701862963381833
5,2,S1_gaussian,spearman_close,0.40505576422305695
5,2,S1_gaussian,auroc_teacher_medium,1.0
5,2,S1_gaussian,auroc_student_medium,0.998828
5,2,S1_gaussian,rmse_score_medium,0.44958469179608834
5,2,S1_gaussian,spearman_medium,0.39351143004572015
5,2,S1_gaussian,auroc_teacher_far,1.0
5,2,S1_gaussian,auroc_student_far,0.9816959999999999
5,2,S1_gaussian,rmse_score_far,4.744041508853166
5,2,S1_gaussian,spearman_far,0.06291461965847862
5,2,S1_gaussian,rmse_score_normals,0.22289165532390356
5,2,S2_uniform,auroc_teacher_boundary,0.999464
5,2,S2_uniform,auroc_student_boundary,0.662044
5,2,S2_uniform,rmse_score_boundary,0.3548012896629928
5,2,S2_uniform,spearman_boundary,0.10634317737270949
5,2,S2_uniform,auroc_teacher_close,1.0
5,2,S2_uniform,auroc_student_close,0.724076
5,2,S2_uniform,rmse_score_close,0.8489346892013881
5,2,S2_uniform,spearman_close,0.18058766635066542
5,2,S2_uniform,auroc_teacher_medium,1.0
5,2,S2_uniform,auroc_student_medium,0.797496
5,2,S2_uniform,rmse_score_medium,1.7815012029204087
5,2,S2_uniform,spearman_medium,0.13606240024960098
5,2,S2_uniform,auroc_teacher_far,1.0
5,2,S2_uniform,auroc_student_far,0.8338679999999999
5,2,S2_uniform,rmse_score_far,4.137111658418067
5,2,S2_uniform,spearman_far,-0.06502682010728043
5,2,S2_uniform,rmse_score_normals,0.49337639667349603
5,2,S3_langevin,auroc_teacher_boundary,0.999464
5,2,S3_langevin,auroc_student_boundary,0.8286439999999999
5,2,S3_langevin,rmse_score_boundary,0.5573688586873157
5,2,S3_langevin,spearman_boundary,0.26507885231540923
5,2,S3_langevin,auroc_teacher_close,1.0
5,2,S3_langevin,auroc_student_close,0.911832
5,2,S3_langevin,rmse_score_close,0.545816368422017
5,2,S3_langevin,spearman_close,0.1742815931263725
5,2,S3_langevin,auroc_teacher_medium,1.0
5,2,S3_langevin,auroc_student_medium,0.9655719999999999
5,2,S3_langevin,rmse_score_medium,0.6129720126197764
5,2,S3_langevin,spearman_medium,-0.024230496921987688
5,2,S3_langevin,auroc_teacher_far,1.0
5,2,S3_langevin,auroc_student_far,0.9416160000000001
5,2,S3_langevin,rmse_score_far,5.708357655724435
5,2,S3_langevin,spearman_far,-0.022260473041892166
5,2,S3_langevin,rmse_score_normals,0.24447603546561616
5,2,S4_mixed,auroc_teacher_boundary,0.999464
5,2,S4_mixed,auroc_student_boundary,0.6073
5,2,S4_mixed,rmse_score_boundary,0.21514379911552062
5,2,S4_mixed,spearman_boundary,0.21468133872535491
5,2,S4_mixed,auroc_teacher_close,1.0
5,2,S4_mixed,auroc_student_close,0.7156879999999999
5,2,S4_mixed,rmse_score_close,0.3607608792474502
5,2,S4_mixed,spearman_close,0.21673325093300372
5,2,S4_mixed,auroc_teacher_medium,1.0
5,2,S4_mixed,auroc_student_medium,0.8468279999999998
5,2,S4_mixed,rmse_score_medium,0.9787797222731682
5,2,S4_mixed,spearman_medium,0.2025700262801051
5,2,S4_mixed,auroc_teacher_far,1.0
5,2,S4_mixed,auroc_student_far,0.886856
5,2,S4_mixed,rmse_score_far,4.229178728444353
5,2,S4_mixed,spearman_far,-0.005554582218328873
5,2,S4_mixed,rmse_score_normals,0.5008733025827765
5,2,S5_adaptive,auroc_teacher_boundary,0.999464
5,2,S5_adaptive,auroc_student_boundary,0.681368
5,2,S5_adaptive,rmse_score_boundary,0.2208976270357902
5,2,S5_adaptive,spearman_boundary,0.11021832887331548
5,2,S5_adaptive,auroc_teacher_close,1.0
5,2,S5_adaptive,auroc_student_close,0.84606
5,2,S5_adaptive,rmse_score_close,0.3431152901898543
5,2,S5_adaptive,spearman_close,0.2680555362221449
5,2,S5_adaptive,auroc_teacher_medium,1.0
5,2,S5_adaptive,auroc_student_medium,0.9785719999999999
5,2,S5_adaptive,rmse_score_medium,0.6296781001802559
5,2,S5_adaptive,spearman_medium,0.44096096384385536
5,2,S5_adaptive,auroc_teacher_far,1.0
5,2,S5_adaptive,auroc_student_far,1.0
5,2,S5_adaptive,rmse_score_far,2.0978399472000104
5,2,S5_adaptive,spearman_far,0.451817935271741
5,2,S5_adaptive,rmse_score_normals,0.36553592321522266
10,0,S0_none,auroc_teacher_boundary,0.993588
10,0,S0_none,auroc_student_boundary,0.785244
10,0,S0_none,rmse_score_boundary,0.3988533885578976
10,0,S0_none,spearman_boundary,0.31291593966375864
10,0,S0_none,auroc_teacher_close,1.0
10,0,S0_none,auroc_student_close,0.887144
10,0,S0_none,rmse_score_close,0.565812523973605
10,0,S0_none,spearman_close,0.21027626510506042
10,0,S0_none,auroc_teacher_medium,1.0
10,0,S0_none,auroc_student_medium,0.916664
10,0,S0_none,rmse_score_medium,1.0932561626030606
10,0,S0_none,spearman_medium,0.1027057228228913
10,0,S0_none,auroc_teacher_far,1.0
10,0,S0_none,auroc_student_far,0.8026960000000001
10,0,S0_none,rmse_score_far,7.1644144539781385
10,0,S0_none,spearman_far,-0.017420901683606736
10,0,S0_none,rmse_score_normals,0.23130290140127835
10,0,S1_gaussian,auroc_teacher_boundary,0.993588
10,0,S1_gaussian,auroc_student_boundary,0.777256
10,0,S1_gaussian,rmse_score_boundary,0.2829731087313027
10,0,S1_gaussian,spearman_boundary,0.2759711518846075
10,0,S1_gaussian,auroc_teacher_close,1.0
10,0,S1_gaussian,auroc_student_close,0.942016
10,0,S1_gaussian,rmse_score_close,0.4688583294332612
10,0,S1_gaussian,spearman_close,0.26514739658958636
10,0,S1_gaussian,auroc_teacher_medium,1.0
10,0,S1_gaussian,auroc_student_medium,0.985748
10,0,S1_gaussian,rmse_score_medium,0.6775234420469627
10,0,S1_gaussian,spearman_medium,0.23144290977163912
10,0,S1_gaussian,auroc_teacher_far,1.0
10,0,S1_gaussian,auroc_student_far,0.9458799999999999
10,0,S1_gaussian,rmse_score_far,6.486534538650188
10,0,S1_gaussian,spearman_far,-0.0042550250201000795
10,0,S1_gaussian,rmse_score_normals,0.24928150865377538
10,0,S2_uniform,auroc_teacher_boundary,0.993588
10,0,S2_uniform,auroc_student_boundary,0.5446880000000001
10,0,S2_uniform,rmse_score_boundary,0.6872480321959706
10,0,S2_uniform,spearman_boundary,0.0639188796755187
10,0,S2_uniform,auroc_teacher_close,1.0
10,0,S2_uniform,auroc_student_close,0.604804
10,0,S2_uniform,rmse_score_close,1.6725363036325662
10,0,S2_uniform,spearman_close,0.046724250897003584
10,0,S2_uniform,auroc_teacher_medium,1.0
10,0,S2_uniform,auroc_student_medium,0.679684
10,0,S2_uniform,rmse_score_medium,3.347482964113139
10,0,S2_uniform,spearman_medium,0.09345253381013523
10,0,S2_uniform,auroc_teacher_far,1.0
10,0,S2_uniform,auroc_student_far,0.789696
10,0,S2_uniform,rmse_score_far,5.922217124654338
10,0,S2_uniform,spearman_far,-0.015020508082032329
10,0,S2_uniform,rmse_score_normals,0.6084364983260707
10,0,S3_langevin,auroc_teacher_boundary,0.993588
10,0,S3_langevin,auroc_student_boundary,0.809552
10,0,S3_langevin,rmse_score_boundary,0.332466433550767
10,0,S3_langevin,spearman_boundary,0.337127044508178
10,0,S3_langevin,auroc_teacher_close,1.0
10,0,S3_langevin,auroc_student_close,0.93892
10,0,S3_langevin,rmse_score_close,0.49529328625136454
10,0,S3_langevin,spearman_close,0.2662586010344041
10,0,S3_langevin,auroc_teacher_medium,1.0
10,0,S3_langevin,auroc_student_medium,0.9660359999999999
10,0,S3_langevin,rmse_score_medium,0.8125352394506721
10,0,S3_langevin,spearman_medium,0.07689342757371029
10,0,S3_langevin,auroc_teacher_far,1.0
10,0,S3_langevin,auroc_student_far,0.8749720000000001
10,0,S3_langevin,rmse_score_far,7.036110698117961
10,0,S3_langevin,spearman_far,0.012535346141384567
10,0,S3_langevin,rmse_score_normals,0.23269853635208104
10,0,S4_mixed,auroc_teacher_boundary,0.993588
10,0,S4_mixed,auroc_student_boundary,0.4946360000000001
10,0,S4_mixed,rmse_score_boundary,0.1156507778539876
10,0,S4_mixed,spearman_boundary,0.14119208476833905
10,0,S4_mixed,auroc_teacher_close,1.0
10,0,S4_mixed,auroc_student_close,0.61568
10,0,S4_mixed,rmse_score_close,0.2931877661841549
10,0,S4_mixed,spearman_close,0.16727078108312432
10,0,S4_mixed,auroc_teacher_medium,1.0
10,0,S4_mixed,auroc_student_medium,0.7853479999999998
10,0,S4_mixed,rmse_score_medium,1.4159969563764139
10,0,S4_mixed,spearman_medium,0.16184493537974154
10,0,S4_mixed,auroc_teacher_far,1.0
10,0,S4_mixed,auroc_student_far,0.897664
10,0,S4_mixed,rmse_score_far,5.357503335686557
10,0,S4_mixed,spearman_far,0.05848717794871179
10,0,S4_mixed,rmse_score_normals,0.5744910693878158
10,0,S5_adaptive,auroc_teacher_boundary,0.993588
10,0,S5_adaptive,auroc_student_boundary,0.615712
10,0,S5_adaptive,rmse_score_boundary,0.2871895272365892
10,0,S5_adaptive,spearman_boundary,0.24816972867891474
10,0,S5_adaptive,auroc_teacher_close,1.0
10,0,S5_adaptive,auroc_student_close,0.8207439999999999
10,0,S5_adaptive,rmse_score_close,0.4529032953798365
10,0,S5_adaptive,spearman_close,0.3010277321109284
10,0,S5_adaptive,auroc_teacher_medium,1.0
10,0,S5_adaptive,auroc_student_medium,0.95768
10,0,S5_adaptive,rmse_score_medium,1.010485340481433
10,0,S5_adaptive,spearman_medium,0.3310128760515042
10,0,S5_adaptive,auroc_teacher_far,1.0
10,0,S5_adaptive,auroc_student_far,0.991312
10,0,S5_adaptive,rmse_score_far,3.225922936815103
10,0,S5_adaptive,spearman_far,0.19116278065112258
10,0,S5_adaptive,rmse_score_normals,0.3340152896777478
10,1,S0_none,auroc_teacher_boundary,0.993588
10,1,S0_none,auroc_student_boundary,0.7348439999999999
10,1,S0_none,rmse_score_boundary,0.4294920987439113
10,1,S0_none,spearman_boundary,0.23970009480037918
10,1,S0_none,auroc_teacher_close,1.0
10,1,S0_none,auroc_student_close,0.875948
10,1,S0_none,rmse_score_close,0.5877263688215189
10,1,S0_none,spearman_close,0.20683820335281342
10,1,S0_none,auroc_teacher_medium,1.0
10,1,S0_none,auroc_student_medium,0.8877919999999999
10,1,S0_none,rmse_score_medium,1.204670064531658
10,1,S0_none,spearman_medium,0.07447892191568767
10,1,S0_none,auroc_teacher_far,1.0
10,1,S0_none,auroc_student_far,0.8316400000000002
10,1,S0_none,rmse_score_far,7.3675038608860985
10,1,S0_none,spearman_far,-0.01278888315553262
10,1,S0_none,rmse_score_normals,0.24098349691053225
10,1,S1_gaussian,auroc_teacher_boundary,0.993588
10,1,S1_gaussian,auroc_student_boundary,0.7918719999999999
10,1,S1_gaussian,rmse_score_boundary,0.3586072972731673
10,1,S1_gaussian,spearman_boundary,0.30528515714062854
10,1,S1_gaussian,auroc_teacher_close,1.0
10,1,S1_gaussian,auroc_student_close,0.9421519999999999
10,1,S1_gaussian,rmse_score_close,0.5741663221460631
10,1,S1_gaussian,spearman_close,0.23460756243024972
10,1,S1_gaussian,auroc_teacher_medium,1.0
10,1,S1_gaussian,auroc_student_medium,0.977324
10,1,S1_gaussian,rmse_score_medium,0.7243195002307622
10,1,S1_gaussian,spearman_medium,0.11982527930111718
10,1,S1_gaussian,auroc_teacher_far,1.0
10,1,S1_gaussian,auroc_student_far,0.9781719999999999
10,1,S1_gaussian,rmse_score_far,6.297173905641324
10,1,S1_gaussian,spearman_far,-0.05667651470605883
10,1,S1_gaussian,rmse_score_normals,0.23305303386010645
10,1,S2_uniform,auroc_teacher_boundary,0.993588
10,1,S2_uniform,auroc_student_boundary,0.5161439999999999
10,1,S2_uniform,rmse_score_boundary,0.8430263677791626
10,1,S2_uniform,spearman_boundary,0.04749935799743198
10,1,S2_uniform,auroc_teacher_close,1.0
10,1,S2_uniform,auroc_student_close,0.563656
10,1,S2_uniform,rmse_score_close,1.8562752456719933
10,1,S2_uniform,spearman_close,0.028933843735374942
10,1,S2_uniform,auroc_teacher_medium,1.0
10,1,S2_uniform,auroc_student_medium,0.6290520000000001
10,1,S2_uniform,rmse_score_medium,3.2841719230207547
10,1,S2_uniform,spearman_medium,0.08692057168228673
10,1,S2_uniform,auroc_teacher_far,1.0
10,1,S2_uniform,auroc_student_far,0.743088
10,1,S2_uniform,rmse_score_far,5.916386020865686
10,1,S2_uniform,spearman_far,0.02278194712778851
10,1,S2_uniform,rmse_score_normals,0.6558088410196203
10,1,S3_langevin,auroc_teacher_boundary,0.993588
