seed,teacher,method,evals,fid
3,ocsvm,normals_only,500,-0.01684259537038148
3,ocsvm,uniform_shell,500,0.5531661166644667
3,ocsvm,score,500,0.37392216768867076
3,ocsvm,combined_FD,2500,0.4292771411085644
3,ocsvm,combined_K4,4500,0.4286746426985708
3,ocsvm,score,1000,0.4503010332041328
3,ocsvm,combined_FD,5000,0.5277443509774039
3,ocsvm,combined_K4,9000,0.36630972123888494
3,ocsvm,score,2000,0.4852566930267721
3,ocsvm,combined_FD,10000,0.5133914295657183
3,ocsvm,combined_K4,18000,0.36556879027516104
3,ocsvm,score,5000,0.35573585494341975
3,ocsvm,combined_FD,25000,0.3269627158508634
3,ocsvm,combined_K4,45000,0.5679592958371833
3,ocsvm,score,12000,0.5182394489577957
3,ocsvm,combined_FD,60000,0.4993062532250129
3,ocsvm,combined_K4,108000,0.3301435925743703
3,ocsvm,score,24000,0.5354233256933028
3,ocsvm,combined_FD,120000,0.48462817851271395
3,ocsvm,combined_K4,216000,0.37915447661790647
3,ae,normals_only,500,0.04563944765313736
3,ae,uniform_shell,500,0.5422573180434479
3,ae,score,500,0.5472363300789923
3,ae,combined_FD,2500,0.5853391714048258
3,ae,combined_K4,4500,0.6338876707639873
3,ae,score,1000,0.5481773738657526
3,ae,combined_FD,5000,0.46796847510514394
3,ae,combined_K4,9000,0.576739984801699
3,ae,score,2000,0.5999386221530157
3,ae,combined_FD,10000,0.5555653235948622
3,ae,combined_K4,18000,0.4824023731871498
3,ae,score,5000,0.6075776608925076
3,ae,combined_FD,25000,0.5811672346169523
3,ae,combined_K4,45000,0.5797359168573296
3,ae,score,12000,0.6409752352843469
3,ae,combined_FD,60000,0.5432233699308407
3,ae,combined_K4,108000,0.606830633886471
3,ae,score,24000,0.6008763059262553
3,ae,combined_FD,120000,0.661096868253798
3,ae,combined_K4,216000,0.6597331347661344
4,ocsvm,normals_only,500,0.10593440773763094
4,ocsvm,uniform_shell,500,0.33348334993339973
4,ocsvm,score,500,0.29783735134940537
4,ocsvm,combined_FD,2500,0.45806612026448107
4,ocsvm,combined_K4,4500,0.2803402253609014
4,ocsvm,score,1000,0.39200316801267204
4,ocsvm,combined_FD,5000,0.3633273733094932
4,ocsvm,combined_K4,9000,0.3979477037908152
4,ocsvm,score,2000,0.39984774339097356
4,ocsvm,combined_FD,10000,0.3811349645398581
4,ocsvm,combined_K4,18000,0.34729386917547667
4,ocsvm,score,5000,0.4345655142620571
4,ocsvm,combined_FD,25000,0.4073340453361813
4,ocsvm,combined_K4,45000,0.3682897291589166
4,ocsvm,score,12000,0.4216071904287617
4,ocsvm,combined_FD,60000,0.36576299905199616
4,ocsvm,combined_K4,108000,0.3312072768291073
4,ocsvm,score,24000,0.322187272749091
4,ocsvm,combined_FD,120000,0.3738822315289261
4,ocsvm,combined_K4,216000,0.2594972939891759
4,ae,normals_only,500,0.5483064812259248
4,ae,uniform_shell,500,0.9438911355645422
4,ae,score,500,0.9487858111432445
4,ae,combined_FD,2500,0.954183720734883
4,ae,combined_K4,4500,0.9449749798999196
4,ae,score,1000,0.9420100080400322
4,ae,combined_FD,5000,0.9559787359149435
4,ae,combined_K4,9000,0.9570203400813603
4,ae,score,2000,0.9562028968115872
4,ae,combined_FD,10000,0.9409866439465758
4,ae,combined_K4,18000,0.9510138840555361
4,ae,score,5000,0.8328558434233736
4,ae,combined_FD,25000,0.9505969543878174
4,ae,combined_K4,45000,0.9541326485305942
4,ae,score,12000,0.9475263821055283
4,ae,combined_FD,60000,0.9567193788775156
4,ae,combined_K4,108000,0.9465134820539282
4,ae,score,24000,0.9540333841335363
4,ae,combined_FD,120000,0.9502707450829803
4,ae,combined_K4,216000,0.9360768003072011
