dataset,teacher,d,seed,sampler,teacher_auroc,coverage,coverage_wide,radiality,fid,student_auroc,topk
20_letter,knn,32,6,normals_only,0.87646,1.0,1.0,0.9048064806480647,0.3028622862286228,0.64534,0.49
20_letter,knn,32,6,gaussian_jitter,0.87646,1.0,1.0,0.9048064806480647,0.47855985598559847,0.6428,0.52
20_letter,knn,32,6,uniform_box,0.87646,1.0,1.0,0.9048064806480647,0.4445724572457245,0.6427,0.51
20_letter,knn,32,6,uniform_shell,0.87646,1.0,1.0,0.9048064806480647,0.6269906990699068,0.7269800000000001,0.61
20_letter,knn,32,6,wide_shell,0.87646,1.0,1.0,0.9048064806480647,0.4942094209420942,0.69538,0.58
20_letter,knn,32,6,multiscale_shell,0.87646,1.0,1.0,0.9048064806480647,0.36636063606360636,0.64798,0.46
20_letter,knn,32,6,shell_box_mix,0.87646,1.0,1.0,0.9048064806480647,0.4474047404740474,0.67082,0.52
12_fault,knn,27,7,normals_only,0.8134977711738485,0.9108469539375929,0.9108469539375929,0.9013358233492293,0.571841023943583,0.7419108469539376,0.8439821693907875
12_fault,knn,27,7,gaussian_jitter,0.8134977711738485,0.9108469539375929,0.9108469539375929,0.9013358233492293,0.7019052101685116,0.7270936106983656,0.8276374442793462
12_fault,knn,27,7,uniform_box,0.8134977711738485,0.9108469539375929,0.9108469539375929,0.9013358233492293,0.7204582903703498,0.7570133729569093,0.8246656760772659
12_fault,knn,27,7,uniform_shell,0.8134977711738485,0.9108469539375929,0.9108469539375929,0.9013358233492293,0.7106228902996774,0.7373224368499256,0.8573551263001485
12_fault,knn,27,7,wide_shell,0.8134977711738485,0.9108469539375929,0.9108469539375929,0.9013358233492293,0.6970541591842313,0.7421010401188708,0.8291233283803864
12_fault,knn,27,7,multiscale_shell,0.8134977711738485,0.9108469539375929,0.9108469539375929,0.9013358233492293,0.6565231115131137,0.7593432392273403,0.8543833580980683
12_fault,knn,27,7,shell_box_mix,0.8134977711738485,0.9108469539375929,0.9108469539375929,0.9013358233492293,0.6807986406585509,0.7421693907875186,0.8350668647845468
20_letter,ocsvm,32,0,normals_only,0.5972599999999999,1.0,1.0,0.4766036603660366,0.1593159315931593,0.38896000000000003,0.41
