dataset,d,seed,cond,metric,value
shuttle,9,0,S4_mixed,auroc_teacher,0.999
shuttle,9,3,S4_mixed,auroc_student,0.984
shuttle,9,3,S4_mixed,auroc_teacher,0.999
shuttle,9,1,S4_mixed,auroc_student,0.992
shuttle,9,1,S4_mixed,auroc_teacher,1.0
shuttle,9,4,S5_adaptive,auroc_student,0.998
shuttle,9,4,S5_adaptive,auroc_teacher,0.999
shuttle,9,2,S5_adaptive,auroc_student,0.996
shuttle,9,2,S5_adaptive,auroc_teacher,1.0
shuttle,9,3,S5_adaptive,auroc_student,0.976
shuttle,9,3,S5_adaptive,auroc_teacher,0.999
shuttle,9,0,S5_adaptive,auroc_student,0.986
shuttle,9,0,S5_adaptive,auroc_teacher,0.999
shuttle,9,1,S5_adaptive,auroc_student,0.955
shuttle,9,1,S5_adaptive,auroc_teacher,1.0
satellite,36,3,S3_langevin,auroc_student,0.737
satellite,36,3,S3_langevin,auroc_teacher,0.842
satellite,36,4,S3_langevin,auroc_student,0.687
satellite,36,4,S3_langevin,auroc_teacher,0.83
satellite,36,1,S3_langevin,auroc_student,0.73
satellite,36,1,S3_langevin,auroc_teacher,0.826
satellite,36,2,S3_langevin,auroc_student,0.63
satellite,36,2,S3_langevin,auroc_teacher,0.851
satellite,36,0,S3_langevin,auroc_student,0.779
satellite,36,0,S3_langevin,auroc_teacher,0.847
satellite,36,4,S4_mixed,auroc_student,0.652
satellite,36,4,S4_mixed,auroc_teacher,0.83
satellite,36,3,S4_mixed,auroc_student,0.836
satellite,36,3,S4_mixed,auroc_teacher,0.842
satellite,36,1,S4_mixed,auroc_student,0.767
satellite,36,1,S4_mixed,auroc_teacher,0.826
satellite,36,2,S4_mixed,auroc_student,0.549
satellite,36,2,S4_mixed,auroc_teacher,0.851
satellite,36,0,S4_mixed,auroc_student,0.678
satellite,36,0,S4_mixed,auroc_teacher,0.847
satellite,36,4,S5_adaptive,auroc_student,0.768
satellite,36,4,S5_adaptive,auroc_teacher,0.83
satellite,36,3,S5_adaptive,auroc_student,0.682
satellite,36,3,S5_adaptive,auroc_teacher,0.842
satellite,36,1,S5_adaptive,auroc_student,0.639
satellite,36,1,S5_adaptive,auroc_teacher,0.826
satellite,36,2,S5_adaptive,auroc_student,0.672
satellite,36,2,S5_adaptive,auroc_teacher,0.851
satellite,36,0,S5_adaptive,auroc_student,0.807
satellite,36,0,S5_adaptive,auroc_teacher,0.847
