seed,teacher,S0,S5,S6,S7
0,knn,0.2923252013008052,0.9542057048228192,0.9580150000600001,0.9576451105804423
0,kde,0.2072449888891625,0.9144301121463557,0.9416654705549201,0.9522836584088843
0,ocsvm,-0.07185763143052572,0.11786754347017389,0.2939441517766071,0.385624614498458
0,ae,0.35223596894387577,0.9617812871251487,0.9162017448069791,0.9262063288253153
0,ae_kde_max,0.04847645461580182,0.11194330734753433,0.04027427236118223,0.036702116949204694
1,knn,0.4648102789970765,0.9416638416806637,0.9769874727113449,0.979699705178015
1,kde,0.4495614264449693,0.9460354035482976,0.9637634791535431,0.9461426474865037
1,ocsvm,0.08299569198276793,0.4731728366913467,0.6387857871431485,0.7527716510866043
1,ae,0.4609653318613274,0.9549814839259356,0.907750543002172,0.9194204456817826
1,ae_kde_max,0.06500886741418586,0.1260755584274755,0.032663747321711595,0.07977434287816161
2,knn,0.16626748106992428,0.9434377257509028,0.962561962247849,0.9692968691874768
2,kde,0.18242949312969658,0.9271459423265072,0.9364593075696127,0.93056574316972
2,ocsvm,-0.18055358621434484,0.19121452485809942,0.81538031752127,0.6966151704606818
2,ae,0.15171113484453935,0.8387243468973876,0.5499741998967995,0.6760106080424321
2,ae_kde_max,0.05140595639981788,0.010261567070352464,0.07168986746658908,0.08955440191329288
