dataset,d,seed,sampler,teacher_auroc,mean_head_fid,min_head_fid,fid_ae,fid_kde,fid_knn,fid_iforest,fused_fid,student_auroc
29_Pima,8,7,normals_only,0.740179104477612,0.7096716929117414,0.5763210180250329,0.5763210180250329,0.6212567337490734,0.8204161100017642,0.8206929098710947,0.730223615642185,0.7220149253731344
29_Pima,8,7,uniform_shell,0.740179104477612,0.6246157375687869,0.575006218645713,0.575006218645713,0.6091928727774185,0.6760668484152895,0.6381970104367265,0.636463270714636,0.6215671641791045
29_Pima,8,7,disagreement_shell,0.740179104477612,0.6153287590700272,0.582232316135375,0.6142014541967908,0.582232316135375,0.6359857285977281,0.6288955373502148,0.6213221931776312,0.6624626865671642
29_Pima,8,7,shell_box_mix,0.740179104477612,0.6357125134113899,0.5783340513089702,0.6614662787312341,0.5783340513089702,0.6763455185540074,0.6267042050513482,0.6288176094590743,0.654507462686567
29_Pima,8,9,normals_only,0.7508059701492538,0.6062057408542267,0.2970966561453623,0.2970966561453623,0.6265788970023944,0.733443596104104,0.7677038141650463,0.6315457090721156,0.7470149253731343
29_Pima,8,9,uniform_shell,0.7508059701492538,0.5959382736291392,0.5590054406136478,0.5885550735109383,0.5590054406136478,0.617543625592018,0.6186489547999527,0.5975523161104381,0.7078507462686567
29_Pima,8,9,disagreement_shell,0.7508059701492538,0.5919360529959533,0.53302864566936,0.5381288702887135,0.53302864566936,0.6118773327714212,0.6847093632543185,0.570943993536349,0.6843283582089552
29_Pima,8,9,shell_box_mix,0.7508059701492538,0.6882700444563032,0.6399444654676577,0.6914005636991933,0.6962825902233536,0.7254525584350083,0.6399444654676577,0.7218529132874534,0.72944776119403
29_Pima,8,3,normals_only,0.7591194029850745,0.6943577713121871,0.5359119776415529,0.5359119776415529,0.7207201534618375,0.79927645511634,0.7215224990290184,0.7019370380044974,0.7377462686567164
29_Pima,8,3,uniform_shell,0.7591194029850745,0.5024008024702518,0.4896583454225468,0.4973401652195977,0.4896583454225468,0.4956581696172243,0.5269465296216382,0.5079994538813388,0.6459850746268656
29_Pima,8,3,disagreement_shell,0.7591194029850745,0.5591500747796043,0.4968987816441787,0.6419656032522737,0.4968987816441787,0.5246616838534032,0.5730742303685614,0.5431555309788303,0.6413582089552238
29_Pima,8,3,shell_box_mix,0.7591194029850745,0.5761271334318756,0.5048549076180435,0.5048549076180435,0.558204341892725,0.6259349009100106,0.6155143833067235,0.5857421883523363,0.6438656716417912
29_Pima,8,4,normals_only,0.7444328358208956,0.590606603173099,0.3352152399524453,0.3352152399524453,0.6294036272004497,0.6899473643852081,0.7078601811542928,0.6278855918810359,0.704268656716418
29_Pima,8,4,uniform_shell,0.7444328358208956,0.64795030943607,0.5479758386132075,0.6793504180363792,0.5479758386132075,0.6747183841869969,0.6897565969076965,0.6130206907902324,0.6203880597014926
29_Pima,8,4,disagreement_shell,0.7444328358208956,0.42299991833157,0.3482959040476992,0.41148669583871295,0.3482959040476992,0.4650892399038183,0.4671278335360497,0.38571376025764825,0.6018805970149254
29_Pima,8,4,shell_box_mix,0.7444328358208956,0.7267642406986826,0.6418010195461853,0.6418010195461853,0.7308782099277639,0.802983329042104,0.7313944042786775,0.7554148974437781,0.732820895522388
29_Pima,8,5,normals_only,0.743955223880597,0.5606776173017374,0.36754658685188146,0.36754658685188146,0.5494122055027065,0.6620591541270299,0.6636925227253315,0.5325398819361278,0.722820895522388
29_Pima,8,5,uniform_shell,0.743955223880597,0.5186021668941122,0.4656839855690013,0.4656839855690013,0.5194542304558407,0.571157204246509,0.5181132473050977,0.539121983333406,0.7205671641791045
29_Pima,8,5,disagreement_shell,0.743955223880597,0.4664779149239392,0.40097266476605725,0.40097266476605725,0.48860476033432926,0.494828393432362,0.4815058411630082,0.49201613169688907,0.6393731343283582
29_Pima,8,5,shell_box_mix,0.743955223880597,0.6659020901507249,0.6164632333092483,0.6911599223713519,0.6164632333092483,0.6985001062936433,0.657485098628656,0.6741685249871107,0.7102238805970149
29_Pima,8,0,normals_only,0.7266268656716418,0.4786477578275449,0.2982998627845692,0.2982998627845692,0.5025401375396107,0.5717357409103349,0.5420152900756647,0.46433365107132146,0.7287910447761194
29_Pima,8,0,uniform_shell,0.7266268656716418,0.5909650714723446,0.48460363069161927,0.48460363069161927,0.6466736947234089,0.5951783208347385,0.6374046396396115,0.6496330843173547,0.666044776119403
29_Pima,8,0,disagreement_shell,0.7266268656716418,0.6013254287436713,0.5238661959406427,0.5968684209377904,0.5238661959406427,0.6335599892023113,0.6510071088939413,0.5666548424079842,0.6212089552238806
29_Pima,8,0,shell_box_mix,0.7266268656716418,0.63509064884009,0.6029131315977648,0.6029131315977648,0.6382861599441911,0.6713955389087725,0.6277677649096316,0.6675328092007278,0.633731343283582
29_Pima,8,8,normals_only,0.7369701492537314,0.5994478341345358,0.4850175836493569,0.4850175836493569,0.5400920297223211,0.678872252496342,0.6938094706701236,0.6090170674550058,0.7123134328358209
29_Pima,8,8,uniform_shell,0.7369701492537314,0.44276913332340007,0.36840504050068357,0.36840504050068357,0.42372199817087647,0.4465424018124156,0.5324070928096246,0.44838337031271525,0.6608507462686567
29_Pima,8,8,disagreement_shell,0.7369701492537314,0.5496656270046949,0.5029316472646999,0.5723585406163285,0.5029316472646999,0.5657627239102095,0.5576095962275419,0.5469989345698723,0.695955223880597
29_Pima,8,8,shell_box_mix,0.7369701492537314,0.6762245744669575,0.6293506362344743,0.7004819684211248,0.6293506362344743,0.7052181139330704,0.6698475792791607,0.6715619928842483,0.6640298507462686
29_Pima,8,6,normals_only,0.7428507462686567,0.6687473933120412,0.5631929737719654,0.5631929737719654,0.6204861827614776,0.7469650203516479,0.7443453963630741,0.661841579454966,0.7449253731343284
29_Pima,8,6,uniform_shell,0.7428507462686567,0.527638841006529,0.504461527623567,0.534465635981988,0.504461527623567,0.5111059713337577,0.5605222290868035,0.5381076739023233,0.6692835820895523
