seed,cond,metric,value
1,S0_none,rmse_score_boundary,0.2329051365157324
1,S0_none,spearman_boundary,0.36557733752510935
1,S0_none,auroc_teacher_close,0.998128
1,S0_none,auroc_student_close,0.9751839999999999
1,S0_none,rmse_score_close,0.3979564014213332
1,S0_none,spearman_close,0.3449692157793334
1,S0_none,auroc_teacher_medium,0.999494
1,S0_none,auroc_student_medium,0.976108
1,S0_none,rmse_score_medium,0.7162159407492669
1,S0_none,spearman_medium,0.4786227870857256
1,S0_none,auroc_teacher_far,0.9999760000000001
1,S0_none,auroc_student_far,0.9414079999999999
1,S0_none,rmse_score_far,1.0937108406068676
1,S0_none,spearman_far,0.10384228317306188
1,S0_none,rmse_score_normals,0.1359680967479362
1,S0_none,wall_s,6.517988681793213
1,S1_gaussian,auroc_teacher_boundary,0.982606
1,S1_gaussian,auroc_student_boundary,0.917632
1,S1_gaussian,rmse_score_boundary,0.157180947938898
1,S1_gaussian,spearman_boundary,0.3706394336450007
1,S1_gaussian,auroc_teacher_close,0.998128
1,S1_gaussian,auroc_student_close,0.9457319999999999
1,S1_gaussian,rmse_score_close,0.20268828691773982
1,S1_gaussian,spearman_close,0.3523962015740973
1,S1_gaussian,auroc_teacher_medium,0.999494
1,S1_gaussian,auroc_student_medium,0.9455680000000001
1,S1_gaussian,rmse_score_medium,0.3197976006049435
1,S1_gaussian,spearman_medium,0.22317797779451234
1,S1_gaussian,auroc_teacher_far,0.9999760000000001
1,S1_gaussian,auroc_student_far,0.972124
1,S1_gaussian,rmse_score_far,0.4324226431955818
1,S1_gaussian,spearman_far,0.1007311019261426
1,S1_gaussian,rmse_score_normals,0.13301844396416102
1,S1_gaussian,wall_s,7.590713262557983
1,S2_uniform,auroc_teacher_boundary,0.982606
1,S2_uniform,auroc_student_boundary,0.903608
1,S2_uniform,rmse_score_boundary,0.14997405369458414
1,S2_uniform,spearman_boundary,0.6694614797491711
1,S2_uniform,auroc_teacher_close,0.998128
1,S2_uniform,auroc_student_close,0.964524
1,S2_uniform,rmse_score_close,0.09399008792547982
1,S2_uniform,spearman_close,0.3740123105617893
1,S2_uniform,auroc_teacher_medium,0.999494
1,S2_uniform,auroc_student_medium,0.9761679999999999
1,S2_uniform,rmse_score_medium,0.11710628207438538
1,S2_uniform,spearman_medium,0.13706166767399242
1,S2_uniform,auroc_teacher_far,0.9999760000000001
1,S2_uniform,auroc_student_far,0.992056
1,S2_uniform,rmse_score_far,0.1968683927852642
1,S2_uniform,spearman_far,0.0030633627747386305
1,S2_uniform,rmse_score_normals,0.1640322889487675
1,S2_uniform,wall_s,6.223209857940674
1,S3_langevin,auroc_teacher_boundary,0.982606
1,S3_langevin,auroc_student_boundary,0.925916
1,S3_langevin,rmse_score_boundary,0.12063238213306372
1,S3_langevin,spearman_boundary,0.8169002319975814
1,S3_langevin,auroc_teacher_close,0.998128
1,S3_langevin,auroc_student_close,0.977252
1,S3_langevin,rmse_score_close,0.09411631773207492
1,S3_langevin,spearman_close,0.4239771644061365
1,S3_langevin,auroc_teacher_medium,0.999494
1,S3_langevin,auroc_student_medium,0.9618559999999999
1,S3_langevin,rmse_score_medium,0.1770411453682138
1,S3_langevin,spearman_medium,-0.2555647350948461
1,S3_langevin,auroc_teacher_far,0.9999760000000001
1,S3_langevin,auroc_student_far,0.785184
1,S3_langevin,rmse_score_far,0.44836556437684455
1,S3_langevin,spearman_far,-0.12661929706435956
1,S3_langevin,rmse_score_normals,0.1694122606319303
1,S3_langevin,wall_s,52.157095432281494
1,S4_mixed,auroc_teacher_boundary,0.982606
1,S4_mixed,auroc_student_boundary,0.911588
1,S4_mixed,rmse_score_boundary,0.13725843456013417
1,S4_mixed,spearman_boundary,0.727790009767324
1,S4_mixed,auroc_teacher_close,0.998128
1,S4_mixed,auroc_student_close,0.9755280000000001
1,S4_mixed,rmse_score_close,0.08102875304784102
1,S4_mixed,spearman_close,0.43054019066377547
1,S4_mixed,auroc_teacher_medium,0.999494
1,S4_mixed,auroc_student_medium,0.9849600000000001
1,S4_mixed,rmse_score_medium,0.12700637811097104
1,S4_mixed,spearman_medium,0.17704339730722524
